"#ID","domain","phylum","class","order","family","genus","species"
"NBDL-HR5S2B3NG345DB","Eukaryota","Chordata","Actinopteri","Perciformes","Platycephalidae","Onigocia","Onigocia pedimacula"
"NBDL-J1XVBWT6HV8ECS","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Lethrinidae","Wattsia","Wattsia mossambica"
"NBDL-J1XVBWRRPV7ZE4","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Lobianchia","Lobianchia gemellari"
"NBDL-J1XVBWF2NRCEWB","Eukaryota","Chordata","Actinopteri","Carangiformes","Sphyraenidae","Sphyraena","Sphyraena barracuda"
"NBDL-HK48NMJ5GS8N7Q","Eukaryota","Chordata","Actinopteri","Blenniiformes","Pseudochromidae","Pseudochromis","Pseudochromis quinquedentatus"
"NBDL-HK3S9B4FG39BKQ","Eukaryota","Chordata","Actinopteri","Ophidiiformes","Brotulidae","Brotula","Brotula multibarbata"
"NBDL-HK3QD0TMQSJNYK","Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Atropus","Atropus aurochs"
"NBDL-HR5S2B5KN2YQPM","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Choerodon","Choerodon fasciatus"
"NBDL-HK3RX9DJGZQBD7","Eukaryota","Chordata","Actinopteri","Trachichthyiformes","Diretmidae","Diretmus","Diretmus argenteus"
"NBDL-HK3QFJ1HH4N2X1","Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Elagatis","Elagatis bipinnulatus"
"NBDL-HR5SFP60HKRY70","Eukaryota","Chordata","Actinopteri","Perciformes","Epinephelidae","Epinephelus","Epinephelus corallicola"
"NBDL-HK3SJ4D5JNRZX1","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Dactylopteridae","Dactyloptena","Dactyloptena orientalis"
"NBDL-HK3Q0H8ZNJJSH7","Eukaryota","Chordata","Elasmobranchii","Squatiniformes","Squatinidae","Squatina","Squatina australis"
"NBDL-HXDQPBFJQMVWK9","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Latilidae","Branchiostegus","Branchiostegus australiensis"
"NBDL-HK3SXDXTK32W2Z","Eukaryota","Chordata","Actinopteri","Lophiiformes","Ogcocephalidae","Halicmetus","Halicmetus marmoratus"
"NBDL-JFE9FMWMJH6264","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Cepolidae","Acanthocepola","Acanthocepola abbreviata"
"NBDL-HXDQPBF9HMRGMX","Eukaryota","Chordata","Actinopteri","Gadiformes","Macrouridae","Hymenocephalus","Hymenocephalus longibarbis"
"NBDL-HRXJ1RGDH7S9W7","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Cheilinus","Cheilinus trilobatus"
"NBDL-HZ4562AMJMQT0S","Eukaryota","Chordata","Actinopteri","Perciformes","Platycephalidae","Thysanophrys","Thysanophrys cirronasa"
"NBDL-HK3PGJBQGRAT7A","Eukaryota","Chordata","Elasmobranchii","Carcharhiniformes","Atelomycteridae","Atelomycterus","Atelomycterus marnkalha"
"NBDL-J1XVBWTDKVBWAD","Eukaryota","Chordata","Actinopteri","Beloniformes","Hemiramphidae","Hyporhamphus","Hyporhamphus australis"
"NBDL-HK3SDG6KJ31191","Eukaryota","Chordata","Actinopteri","Beryciformes","Rondeletiidae","Rondeletia","Rondeletia loricata"
"NBDL-HK3QY5QTK9XAFV","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Ostraciidae","Tetrosomus","Tetrosomus gibbosus"
"NBDL-HK3R5BRDMX5NQH","Eukaryota","Chordata","Actinopteri","Anguilliformes","Nettastomatidae","Nettastoma","Nettastoma parviceps"
"NBDL-HZ4562FQMQ09PZ","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus evermanni"
"NBDL-HK3QFJ24M49PMR","Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Pseudocaranx","Pseudocaranx wrighti"
"NBDL-HK3RZTPQK4WYXD","Eukaryota","Chordata","Actinopteri","Beryciformes","Berycidae","Beryx","Beryx splendens"
"NBDL-HXDQPBSRMNPW6E","Eukaryota","Chordata","Actinopteri","Blenniiformes","Blenniidae","Parablennius","Parablennius tasmanianus"
"NBDL-HR5SFP66NKR128","Eukaryota","Chordata","Actinopteri","Perciformes","Anthiadidae","Nemanthias","Nemanthias dispar"
"NBDL-HK3SDG6PG319DD","Eukaryota","Chordata","Actinopteri","Ateleopodiformes","Ateleopodidae","Ateleopus","Ateleopus japonicus"
"NBDL-HXDQPBBSHQ3Z7Z","Eukaryota","Chordata","Actinopteri","Carangiformes","Rhombosoleidae","Rhombosolea","Rhombosolea tapirina"
"NBDL-HK3T5NS5MR407J","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Cybiosarda","Cybiosarda elegans"
"NBDL-HK3RX9BVQZ6CX4","Eukaryota","Chordata","Actinopteri","Beryciformes","Holocentridae","Sargocentron","Sargocentron rubrum"
"NBDL-HK3S2V7CH9R83B","Eukaryota","Chordata","Actinopteri","Perciformes","Synanceiidae","Inimicus","Inimicus sinensis"
"NBDL-J1XVBWSWPV9PVM","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Lethrinidae","Monotaxis","Monotaxis grandoculis"
"NBDL-HZ4562DEKMV7S6","Eukaryota","Chordata","Actinopteri","Blenniiformes","Pseudochromidae","Pseudoplesiops","Pseudoplesiops rosae"
"NBDL-HZ4562CDHMXWM2","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Monacanthidae","Paraluteres","Paraluteres prionurus"
"NBDL-HXDQPBTKNNX47Z","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Tylerius","Tylerius spinosissimus"
"NBDL-HK3RZTPHQ4WT65","Eukaryota","Chordata","Actinopteri","Beloniformes","Exocoetidae","Parexocoetus","Parexocoetus mento"
"NBDL-HXDQPBKYQMH2N7","Eukaryota","Chordata","Actinopteri","Gadiformes","Moridae","Lotella","Lotella phycis"
"NBDL-HR5SFP61QKR0HW","Eukaryota","Chordata","Actinopteri","Perciformes","Epinephelidae","Cephalopholis","Cephalopholis miniata"
"NBDL-HR5SFNXTMTRAK9","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon vagabundus"
"NBDL-HR5S2B3FM35NTK","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Nemipteridae","Scolopsis","Scolopsis lineatus"
"NBDL-HK4A8AFQKAG2AW","Eukaryota","Chordata","Actinopteri","Lophiiformes","Antennariidae","Antennarius","Antennarius commerson"
"NBDL-HK3RZTRKM4FF76","Eukaryota","Chordata","Actinopteri","Perciformes","Neosebastidae","Neosebastes","Neosebastes nigropunctatus"
"NBDL-HK3Q46WGJWESMY","Eukaryota","Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Neotrygon","Neotrygon australiae"
"NBDL-HXDQPBEGKMTB3H","Eukaryota","Chordata","Actinopteri","Gadiformes","Macrouridae","Coryphaenoides","Coryphaenoides fernandezianus"
"NBDL-HHG28F3EGBJ3R1","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Ephippidae","Platax","Platax pinnatus"
"NBDL-HXDQPBT2KNWWKB","Eukaryota","Chordata","Actinopteri","Labriformes","Pinguipedidae","Parapercis","Parapercis imamurai"
"NBDL-J1XVBWN2PT5RTT","Eukaryota","Chordata","Actinopteri","Perciformes","Anthiadidae","Pseudanthias","Pseudanthias huchtii"
"NBDL-HK3S2V76N9RZJK","Eukaryota","Chordata","Actinopteri","Perciformes","Scorpaenidae","Scorpaena","Scorpaena sumptuosa"
"NBDL-HHG28F2VPBDKEX","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Nemipteridae","Scolopsis","Scolopsis regina"
"NBDL-HK3QY5QRQ9XDA3","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Ostraciidae","Lactoria","Lactoria diaphana"
"NBDL-HK3RDJRBG2SYHA","Eukaryota","Chordata","Actinopteri","Gadiformes","Moridae","Pseudophycis","Pseudophycis palmata"
"NBDL-HRXJ1RH0Q7ZV8V","Eukaryota","Chordata","Actinopteri","Blenniiformes","Pomacentridae","Parma","Parma oligolepis"
"NBDL-HK3QATCJKP2NPX","Eukaryota","Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Aetomylaeus","Aetomylaeus vespertilio"
"NBDL-HK3RDJQHK2172H","Eukaryota","Chordata","Actinopteri","Aulopiformes","Synodontidae","Synodus","Synodus macrops"
"NBDL-HK3Q46VZQW4Z0N","Eukaryota","Chordata","Elasmobranchii","Rajiformes","Rajidae","Zearaja","Zearaja maugeana"
"NBDL-HXDQPBPBNM6PCH","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Oxycheilinus","Oxycheilinus nigromarginatus"
"NBDL-HK3T1ZX0QNCCR4","Eukaryota","Chordata","Actinopteri","Acropomatiformes","Epigonidae","Epigonus","Epigonus telescopus"
